Statistic,Name,Team,#,Top 25
Complete Games,Sandy Alcantara,Miami Marlins,6,Top 25
ERA,Julio Urías,Los Angeles Dodgers,2.16,Top 25
Games,John Brebbia,San Francisco Giants,76,Top 25
Saves,Kenley Jansen,Atlanta Braves,41,Top 25
Shutouts,Sandy Alcantara,Miami Marlins,1,Top 25
Walker Buehler,Los Angeles Dodgers,1,,
Bryce Elder,Atlanta Braves,1,,
Hunter Greene,Cincinnati Reds,1,,
Chad Kuhl,Colorado Rockies,1,,
Jordan Montgomery,St. Louis Cardinals,1,,
Aaron Nola,Philadelphia Phillies,1,,
Strikeouts,Corbin Burnes,Milwaukee Brewers,243,Top 25
Winning Percentage,Kyle Wright,Atlanta Braves,.808,Top 25
Wins,Kyle Wright,Atlanta Braves,21,Top 25
2022 N.L. History | 2022 A.L. History | Year-by-Year History,,,,
